word,length,fre,pmi,entropy
治疗,2,0.004219842819218206,5.117069673950443,4.602031818699277
具有,2,0.0007861428581669251,4.853240667393688,4.456397857535678
使用,2,0.0025209140284684073,3.1516748082121944,4.408434883364126
以及,2,0.0005232987414545793,3.7141686028733933,4.2936070195018905
症状,2,0.0010824398624608423,4.977869881551223,4.275294843191399
因此,2,0.0005567516290361506,5.445438854494872,4.267054384659576
需要,2,0.0006618892757210889,4.9336100435352135,4.228002441419981
进行,2,0.0005065722976637937,6.147363653511723,4.190842538082737
由于,2,0.0005949835005579463,4.457141980423777,4.187579119150932
出血,2,0.000845880157419731,3.407887242055368,4.1512929362266835
作用,2,0.005682211904926893,3.4560624269497673,4.134171667398955
降低,2,0.0011612930974745459,5.332440854328118,4.129959862227901
综合征,3,0.0004659509341718857,7.3008873851437075,4.080758465603059
皮肤,2,0.0010274815471482607,5.776738943182282,4.078304663664019
维生素,3,0.0009103964406127613,4.890860610288011,4.040556503772272
不同,2,0.0003703712553673963,3.3006493794431986,4.031035941905487
代谢,2,0.0014193582302466673,6.078538704539113,4.025103250511695
存在,2,0.00032736039990537613,5.219912175660731,4.024911039481285
细胞,2,0.002568703867870652,5.578722856651964,4.022360724559553
患者,2,0.00432020148196292,4.8590082500649014,4.015091173757524
改变,2,0.00028673903641346815,5.947847411742307,3.986794855842612
通过,2,0.0008124272698381597,4.745613189746455,3.9853241473552043
抑制,2,0.0030418232779528746,4.958619813699472,3.960673696985167
尤其是,3,0.0002461176729215601,5.418784570573761,3.959989491859067
口服,2,0.0019092040841196753,5.206489877882858,3.9567731213879775
给药,2,0.0013906843266053204,3.8414186409723046,3.955707241772613
增加,2,0.0019115935760897875,5.2304174085027375,3.953309714988436
胰岛素,3,0.0005232987414545793,4.811872198969381,3.892626329728715
改善,2,0.00032497090793526386,7.190900548790325,3.8886019023951652
包括,2,0.001029871039118373,6.739408087362822,3.865442313680121
急性,2,0.0008315432055990575,4.075574879012143,3.850726932484691
发生,2,0.001610517587855646,4.200014008201386,3.837234723393913
预防,2,0.0006260468961694054,6.690116645924981,3.8287761717302424
血管,2,0.0008984489807622001,3.8792347906345035,3.8264720315506864
控制,2,0.0003703712553673963,4.874225549783478,3.821607934971887
产生,2,0.0005782570567671607,4.313978743461115,3.80614525722377
发热,2,0.00021027529336987662,4.5508382234752265,3.7916043393776366
通常,2,0.00031541294005481496,3.8222419311640956,3.7913184630001338
严重,2,0.0015316643528419424,5.589872834434608,3.7688272070097164
剂量,2,0.0037037125536739635,3.9255197298250293,3.764238951921485
目前,2,0.0003345288758157128,5.917419532734701,3.7512125468023596
没有,2,0.00020310681745953994,5.088365400733419,3.7325635064875584
出现,2,0.0012783782040100453,5.458499822805374,3.713431467029735
建议,2,0.00031541294005481496,7.9877494794487065,3.7128009887512716
是一种,3,0.00015053799411707077,5.260054603980673,3.712729765371564
缓解,2,0.00025806513277212134,5.429342442970222,3.711953872079688
